TaskIndex,TaskID,Group,TimeSpent,SliderGreen,SliderBlue,SliderViolet,ID
11,4,Sequential,15623,0.2,0.8,0,5
0,8,Sequential,49678,0.5,0.3,0.2,5
1,1,Sequential,41647,0,1,0,5
2,10,Sequential,47015,0.7,0.3,0,5
3,9,Sequential,31680,0.7,0,0.3,6
4,3,Sequential,41715,0,1,0,6
5,11,Sequential,35614,0.3,0.7,0,6
6,7,Sequential,27415,1,0,0,6
7,2,Sequential,28731,0.3,0,0.7,6
8,4,Sequential,33348,0.6,0.3,0.1,6
9,6,Sequential,18114,0,0.5,0.5,6
10,5,Sequential,32181,0.6,0,0.4,6
11,0,Sequential,14566,1,0,0,6
0,7,Sequential,28877,1,0,0,6
1,10,Sequential,18811,0,1,0,6
2,5,Sequential,11888,1,0,0,6
3,6,Sequential,11507,0,1,0,6
4,0,Sequential,13441,1,0,0,6
5,2,Sequential,9174,0,0,1,6
6,3,Sequential,9634,0,1,0,7
7,11,Sequential,8379,0,1,0,7
8,9,Sequential,12364,1,0,0,7
9,8,Sequential,18978,1,0,0,7
10,4,Sequential,12123,1,0,0,7
11,1,Sequential,15183,0,1,0,7
0,7,Sequential,24988,0.4,0.4,0.2,7
1,5,Sequential,19935,0.6,0.1,0.3,7
2,4,Sequential,17086,0.6,0.4,0,7
3,8,Sequential,23543,0.5,0.4,0.1,7
4,6,Sequential,22322,0.1,0.5,0.4,7
5,0,Sequential,17768,0.6,0.1,0.3,7
6,9,Sequential,23012,0.8,0.1,0.1,7
7,2,Sequential,13710,0.1,0.2,0.7,7
8,10,Sequential,20687,0.3,0.6,0.1,7
9,11,Sequential,18450,0.2,0.6,0.2,8
10,3,Sequential,21458,0.1,0.6,0.3,8
11,1,Sequential,12540,0.2,0.5,0.3,8
0,6,Sequential,45103,0.6,0.1,0.3,8
1,8,Sequential,29358,0.4,0.1,0.5,8
2,4,Sequential,18878,0.1,0.8,0.1,8
3,11,Sequential,16746,0.7,0.1,0.2,8
4,10,Sequential,25802,0.6,0.2,0.2,8
5,3,Sequential,27038,0.2,0.5,0.3,8
6,2,Sequential,29148,0.4,0.3,0.3,8
7,9,Sequential,19332,0.6,0.1,0.3,8
8,1,Sequential,24312,0.2,0.5,0.3,8
9,0,Sequential,20641,0.8,0.1,0.1,8
10,5,Sequential,26721,0.2,0.1,0.7,8
11,7,Sequential,19057,0.2,0.5,0.3,8
0,6,Sequential,39983,0.8,0.2,0,9
1,7,Sequential,28265,0.7,0.3,0,9
2,1,Sequential,17723,0,0.8,0.2,9
3,8,Sequential,22354,0.8,0.2,0,9
4,11,Sequential,14227,0,1,0,9
5,0,Sequential,18282,0.8,0.1,0.1,9
6,2,Sequential,26342,0.3,0,0.7,9
7,5,Sequential,39836,0.7,0.1,0.2,9
8,4,Sequential,29351,0.5,0.5,0,9
9,9,Sequential,28781,0.7,0.2,0.1,9
10,10,Sequential,27215,0.2,0.6,0.2,9
11,3,Sequential,22833,0.3,0.7,0,9
0,2,Sequential,40113,0,0,1,9
1,5,Sequential,43897,1,0,0,9
2,0,Sequential,24816,1,0,0,9
3,6,Sequential,27754,0,0.1,0.9,10
4,10,Sequential,24327,0,1,0,10
5,4,Sequential,22318,1,0,0,10
6,3,Sequential,19346,0,1,0,10
7,9,Sequential,18357,1,0,0,10
8,1,Sequential,13478,0,1,0,10
9,11,Sequential,22268,0,1,0,10
10,7,Sequential,23750,0,1,0,10
11,8,Sequential,28253,1,0,0,10
0,8,Sequential,37988,0,0,1,10
1,1,Sequential,12876,0,0,1,10
2,11,Sequential,35443,0.3,0.5,0.2,10
3,0,Sequential,11090,1,0,0,10
4,6,Sequential,27050,0.8,0,0.2,10
5,10,Sequential,27503,0.2,0.5,0.3,10
6,5,Sequential,20742,0.5,0,0.5,11
7,4,Sequential,20629,0.2,0.8,0,11
8,3,Sequential,29613,0,0.9,0.1,11
9,2,Sequential,20347,0.7,0,0.3,11
10,9,Sequential,17007,0,0,1,11
11,7,Sequential,19790,0,0.8,0.2,11
0,3,Sequential,32772,0.2,0.7,0.1,11
1,5,Sequential,23615,0.8,0,0.2,11
2,1,Sequential,18621,0.1,0.7,0.2,11
3,11,Sequential,28367,0.4,0.5,0.1,11
4,10,Sequential,20031,0.2,0.6,0.2,11
5,0,Sequential,17492,0.7,0.1,0.2,11
6,2,Sequential,22046,0,0.2,0.8,11
7,7,Sequential,7715,1,0,0,11
8,4,Sequential,22921,0.7,0,0.3,11
9,8,Sequential,15595,0.2,0,0.8,12
10,6,Sequential,15306,0.8,0.1,0.1,12
11,9,Sequential,20180,0.7,0.2,0.1,12
0,5,Sequential,36253,0.5,0.3,0.2,12
1,7,Sequential,24094,0.1,0.6,0.3,12
2,8,Sequential,28257,0.5,0.3,0.2,12
3,9,Sequential,19026,0.7,0.2,0.1,12
4,3,Sequential,25304,0.1,0.8,0.1,12
5,6,Sequential,18169,0,0.7,0.3,12
6,11,Sequential,24138,0.3,0.7,0,12
7,0,Sequential,15657,1,0,0,12
8,4,Sequential,20330,0.2,0.8,0,12
9,10,Sequential,24247,0.2,0.6,0.2,12
10,2,Sequential,18093,0.1,0.1,0.8,12
11,1,Sequential,17665,0,1,0,12
0,10,Sequential,48766,0,1,0,13
1,11,Sequential,28433,0.3,0,0.7,13
2,6,Sequential,52113,0.5,0,0.5,13
3,7,Sequential,16798,0,0,1,13
4,3,Sequential,22403,0,0.6,0.4,13
5,0,Sequential,25787,1,0,0,13
6,5,Sequential,17237,1,0,0,13
7,2,Sequential,18756,1,0,0,13
8,9,Sequential,11729,0,0,1,13
9,8,Sequential,57750,0,0.5,0.5,13
10,4,Sequential,33871,0,0.7,0.3,13
11,1,Sequential,25921,0,0,1,13
0,1,Sequential,47316,0,0.9,0.1,13
1,8,Sequential,44861,0.8,0.1,0.1,13
2,9,Sequential,37710,0.9,0,0.1,13
3,11,Sequential,43898,0.8,0.2,0,14
4,2,Sequential,19635,0,0,1,14
5,4,Sequential,32349,0.6,0.4,0,14
6,3,Sequential,24866,0,1,0,14
7,6,Sequential,23000,0,0.9,0.1,14
8,10,Sequential,17507,0,1,0,14
9,7,Sequential,26862,0.9,0.1,0,14
10,5,Sequential,13647,1,0,0,14
11,0,Sequential,14199,1,0,0,14
0,10,Sequential,59024,0,0,1,14
1,7,Sequential,22556,0,1,0,14
2,2,Sequential,21820,0,0,1,14
3,8,Sequential,20083,0,1,0,14
4,0,Sequential,15738,1,0,0,14
5,11,Sequential,28254,0,0,1,14
6,1,Sequential,24289,0,1,0,15
7,6,Sequential,19030,0,0,1,15
8,5,Sequential,37347,0,1,0,15
9,3,Sequential,14820,0,0,1,15
10,4,Sequential,21110,0,1,0,15
11,9,Sequential,33697,0,0.2,0.8,15
0,4,Sequential,65917,0.2,0.7,0.1,15
1,5,Sequential,149842,0.1,0.2,0.7,15
2,3,Sequential,40360,0.2,0.7,0.1,15
3,2,Sequential,24853,0.1,0.2,0.7,15
4,7,Sequential,45641,0.7,0,0.3,15
5,6,Sequential,28282,0.2,0.1,0.7,15
6,8,Sequential,19705,0.6,0.1,0.3,15
7,11,Sequential,41707,0.5,0.3,0.2,15
8,1,Sequential,44563,0.1,0.7,0.2,15
9,10,Sequential,65923,0.1,0.8,0.1,16
10,9,Sequential,66493,0.8,0.2,0,16
11,0,Sequential,25708,0.8,0.1,0.1,16
0,9,Sequential,68793,1,0,0,16
1,8,Sequential,14310,1,0,0,16
2,1,Sequential,28695,0,1,0,16
3,0,Sequential,11551,1,0,0,16
4,11,Sequential,8375,0,1,0,16
5,10,Sequential,42196,0.5,0.5,0,16
6,4,Sequential,19638,1,0,0,16
7,5,Sequential,35261,0.5,0,0.5,16
8,2,Sequential,16773,0,0,1,16
9,6,Sequential,11175,0,1,0,16
10,7,Sequential,9926,1,0,0,16
11,3,Sequential,11676,0,1,0,16
